      Lon      Lat    Year Fag_syl   C3_gr   Total
     8.75    47.25    1984   0.464   0.001   0.465
     8.75    47.25    1985   0.507   0.001   0.508
     8.75    47.25    1986   0.469   0.001   0.469
     8.75    47.25    1987   0.446   0.001   0.446
     8.75    47.25    1988   0.504   0.001   0.505
     8.75    47.25    1989   0.556   0.012   0.569
     8.75    47.25    1990   0.543   0.009   0.552
     8.75    47.25    1991   0.463   0.007   0.469
     8.75    47.25    1992   0.488   0.005   0.493
     8.75    47.25    1993   0.508  -0.001   0.507
     8.75    47.25    1994   0.464   0.000   0.465
     8.75    47.25    1995   0.480   0.012   0.491
     8.75    47.25    1996   0.544   0.013   0.557
     8.75    47.25    1997   0.541   0.013   0.554
     8.75    47.25    1998   0.519  -0.003   0.516
     8.75    47.25    1999   0.520   0.000   0.520
     8.75    47.25    2000   0.539   0.000   0.539
     8.75    47.25    2001   0.517   0.007   0.525
     8.75    47.25    2002   0.533   0.006   0.539
     8.75    47.25    2003   0.499  -0.002   0.498
     8.75    47.25    2004   0.531   0.000   0.531
     8.75    47.25    2005   0.585   0.000   0.585
     8.75    47.25    2006   0.493   0.000   0.493
     8.75    47.25    2007   0.536   0.000   0.536
     8.75    47.25    2008   0.538   0.000   0.538
     8.75    47.25    2009   0.526   0.000   0.526
     8.75    47.25    2010   0.530   0.000   0.530
     8.75    47.25    2011   0.579   0.000   0.579
     8.75    47.25    2012   0.537   0.000   0.537
     8.75    47.25    2013   0.463   0.000   0.463
     8.75    47.25    2014   0.505   0.007   0.512
     8.75    47.25    2015   0.479   0.004   0.483
     8.75    47.25    2016   0.477   0.003   0.480
     8.75    47.25    2017   0.606   0.000   0.606
     9.25    47.25    1901   0.546   0.024   0.570
     9.25    47.25    1902   0.527   0.024   0.551
     9.25    47.25    1903   0.499   0.021   0.520
     9.25    47.25    1904   0.535   0.015   0.550
     9.25    47.25    1905   0.476   0.013   0.489
     9.25    47.25    1906   0.518   0.024   0.542
     9.25    47.25    1907   0.489   0.029   0.518
     9.25    47.25    1908   0.515   0.034   0.550
     9.25    47.25    1909   0.563   0.036   0.599
     9.25    47.25    1910   0.481   0.037   0.518
     9.25    47.25    1911   0.419   0.028   0.446
     9.25    47.25    1912   0.457   0.048   0.505
     9.25    47.25    1913   0.542   0.038   0.581
     9.25    47.25    1914   0.493   0.064   0.557
     9.25    47.25    1915   0.465   0.062   0.527
     9.25    47.25    1916   0.498   0.074   0.572
     9.25    47.25    1917   0.413   0.048   0.461
     9.25    47.25    1918   0.485   0.064   0.549
     9.25    47.25    1919   0.387   0.058   0.445
     9.25    47.25    1920   0.572   0.069   0.642
     9.25    47.25    1921   0.480   0.049   0.529
     9.25    47.25    1922   0.477   0.064   0.541
     9.25    47.25    1923   0.507   0.042   0.548
     9.25    47.25    1924   0.550   0.037   0.586
     9.25    47.25    1925   0.512   0.025   0.537
     9.25    47.25    1926   0.542   0.024   0.566
     9.25    47.25    1927   0.547   0.019   0.566
     9.25    47.25    1928   0.489   0.017   0.506
     9.25    47.25    1929   0.533   0.016   0.549
     9.25    47.25    1930   0.529   0.013   0.542
     9.25    47.25    1931   0.512   0.009   0.521
     9.25    47.25    1932   0.392   0.005   0.397
     9.25    47.25    1933   0.508   0.007   0.515
     9.25    47.25    1934   0.561   0.033   0.594
     9.25    47.25    1935   0.499   0.031   0.531
     9.25    47.25    1936   0.500   0.033   0.533
     9.25    47.25    1937   0.501   0.028   0.529
     9.25    47.25    1938   0.523   0.015   0.538
     9.25    47.25    1939   0.517   0.008   0.525
     9.25    47.25    1940   0.547   0.003   0.550
     9.25    47.25    1941   0.462   0.000   0.462
     9.25    47.25    1942   0.639  -0.000   0.639
     9.25    47.25    1943   0.593   0.000   0.593
     9.25    47.25    1944   0.557   0.000   0.557
     9.25    47.25    1945   0.610   0.000   0.610
     9.25    47.25    1946   0.603   0.000   0.603
     9.25    47.25    1947   0.479   0.009   0.488
     9.25    47.25    1948   0.648   0.001   0.649
     9.25    47.25    1949   0.571  -0.001   0.570
     9.25    47.25    1950   0.565   0.000   0.565
     9.25    47.25    1951   0.506   0.000   0.506
     9.25    47.25    1952   0.535   0.000   0.535
     9.25    47.25    1953   0.568   0.000   0.568
     9.25    47.25    1954   0.490   0.000   0.490
     9.25    47.25    1955   0.500   0.000   0.500
     9.25    47.25    1956   0.484   0.000   0.484
     9.25    47.25    1957   0.571   0.000   0.571
     9.25    47.25    1958   0.476   0.000   0.476
     9.25    47.25    1959   0.631   0.000   0.631
     9.25    47.25    1960   0.492   0.000   0.492
     9.25    47.25    1961   0.564   0.013   0.577
     9.25    47.25    1962   0.484   0.012   0.496
     9.25    47.25    1963   0.543   0.014   0.556
     9.25    47.25    1964   0.520   0.013   0.533
     9.25    47.25    1965   0.484   0.015   0.499
     9.25    47.25    1966   0.530   0.012   0.541
     9.25    47.25    1967   0.509   0.014   0.523
     9.25    47.25    1968   0.556  -0.003   0.553
     9.25    47.25    1969   0.533   0.000   0.533
     9.25    47.25    1970   0.452   0.000   0.452
     9.25    47.25    1971   0.622   0.004   0.626
     9.25    47.25    1972   0.485   0.002   0.487
     9.25    47.25    1973   0.472   0.000   0.472
     9.25    47.25    1974   0.470   0.000   0.471
     9.25    47.25    1975   0.478   0.000   0.479
     9.25    47.25    1976   0.551   0.001   0.551
     9.25    47.25    1977   0.555   0.014   0.569
     9.25    47.25    1978   0.492   0.015   0.507
     9.25    47.25    1979   0.444   0.014   0.457
     9.25    47.25    1980   0.407   0.011   0.419
     9.25    47.25    1981   0.594   0.019   0.612
     9.25    47.25    1982   0.458   0.014   0.472
     9.25    47.25    1983   0.522   0.000   0.522
     9.25    47.25    1984   0.495   0.005   0.500
     9.25    47.25    1985   0.531   0.006   0.537
     9.25    47.25    1986   0.540   0.003   0.543
     9.25    47.25    1987   0.475   0.002   0.477
     9.25    47.25    1988   0.599   0.002   0.601
     9.25    47.25    1989   0.598   0.003   0.600
     9.25    47.25    1990   0.602   0.003   0.605
     9.25    47.25    1991   0.509   0.003   0.512
     9.25    47.25    1992   0.487   0.002   0.489
     9.25    47.25    1993   0.572   0.002   0.574
     9.25    47.25    1994   0.542   0.002   0.544
     9.25    47.25    1995   0.515   0.001   0.517
     9.25    47.25    1996   0.575   0.001   0.576
     9.25    47.25    1997   0.571   0.002   0.572
     9.25    47.25    1998   0.573   0.002   0.574
     9.25    47.25    1999   0.567   0.001   0.568
     9.25    47.25    2000   0.550   0.001   0.551
     9.25    47.25    2001   0.566   0.001   0.567
     9.25    47.25    2002   0.581   0.001   0.582
     9.25    47.25    2003   0.539   0.001   0.539
     9.25    47.25    2004   0.531   0.001   0.532
     9.25    47.25    2005   0.625   0.001   0.626
     9.25    47.25    2006   0.524   0.001   0.525
     9.25    47.25    2007   0.582   0.001   0.583
     9.25    47.25    2008   0.529   0.001   0.530
     9.25    47.25    2009   0.553   0.001   0.554
     9.25    47.25    2010   0.533   0.013   0.546
     9.25    47.25    2011   0.622   0.014   0.636
     9.25    47.25    2012   0.585   0.016   0.601
     9.25    47.25    2013   0.499  -0.003   0.496
     9.25    47.25    2014   0.557   0.000   0.558
     9.25    47.25    2015   0.536   0.000   0.537
     9.25    47.25    2016   0.480  -0.000   0.480
     9.25    47.25    2017   0.632   0.000   0.632
     9.75    47.25    1901   0.000   0.608   0.608
     9.75    47.25    1902   0.000   0.612   0.612
     9.75    47.25    1903   0.000   0.542   0.542
     9.75    47.25    1904   0.000   0.612   0.612
     9.75    47.25    1905   0.000   0.545   0.545
     9.75    47.25    1906   0.000   0.613   0.613
     9.75    47.25    1907   0.000   0.511   0.511
     9.75    47.25    1908   0.000   0.589   0.589
     9.75    47.25    1909   0.000   0.606   0.606
     9.75    47.25    1910   0.000   0.559   0.559
     9.75    47.25    1911   0.000   0.546   0.546
     9.75    47.25    1912   0.000   0.578   0.578
     9.75    47.25    1913   0.000   0.602   0.602
     9.75    47.25    1914   0.000   0.573   0.573
     9.75    47.25    1915   0.000   0.528   0.528
     9.75    47.25    1916   0.000   0.558   0.558
     9.75    47.25    1917   0.000   0.555   0.555
     9.75    47.25    1918   0.000   0.530   0.530
     9.75    47.25    1919   0.000   0.538   0.538
     9.75    47.25    1920   0.000   0.646   0.646
     9.75    47.25    1921   0.000   0.531   0.531
     9.75    47.25    1922   0.000   0.604   0.604
     9.75    47.25    1923   0.000   0.563   0.563
     9.75    47.25    1924   0.000   0.609   0.609
     9.75    47.25    1925   0.000   0.507   0.507
     9.75    47.25    1926   0.000   0.595   0.595
     9.75    47.25    1927   0.000   0.564   0.564
     9.75    47.25    1928   0.000   0.583   0.583
     9.75    47.25    1929   0.000   0.539   0.539
     9.75    47.25    1930   0.000   0.619   0.619
     9.75    47.25    1931   0.000   0.539   0.539
     9.75    47.25    1932   0.000   0.527   0.527
     9.75    47.25    1933   0.000   0.602   0.602
     9.75    47.25    1934   0.000   0.603   0.603
     9.75    47.25    1935   0.000   0.604   0.604
     9.75    47.25    1936   0.000   0.621   0.621
     9.75    47.25    1937   0.000   0.596   0.596
     9.75    47.25    1938   0.000   0.547   0.547
     9.75    47.25    1939   0.000   0.613   0.613
     9.75    47.25    1940   0.000   0.541   0.541
     9.75    47.25    1941   0.000   0.481   0.481
     9.75    47.25    1942   0.000   0.583   0.583
     9.75    47.25    1943   0.000   0.551   0.551
     9.75    47.25    1944   0.000   0.642   0.642
     9.75    47.25    1945   0.000   0.653   0.653
     9.75    47.25    1946   0.000   0.652   0.652
     9.75    47.25    1947   0.000   0.547   0.547
     9.75    47.25    1948   0.000   0.709   0.709
     9.75    47.25    1949   0.003   0.514   0.517
     9.75    47.25    1950   0.004   0.646   0.650
     9.75    47.25    1951   0.005   0.554   0.559
     9.75    47.25    1952   0.007   0.683   0.690
     9.75    47.25    1953   0.007   0.584   0.591
     9.75    47.25    1954   0.007   0.569   0.576
     9.75    47.25    1955   0.009   0.578   0.587
     9.75    47.25    1956   0.008   0.536   0.544
     9.75    47.25    1957   0.010   0.645   0.655
     9.75    47.25    1958   0.011   0.488   0.499
     9.75    47.25    1959   0.014   0.679   0.693
     9.75    47.25    1960   0.015   0.519   0.533
     9.75    47.25    1961   0.017   0.672   0.690
     9.75    47.25    1962   0.017   0.516   0.533
     9.75    47.25    1963   0.020   0.614   0.634
     9.75    47.25    1964   0.022   0.566   0.588
     9.75    47.25    1965   0.017   0.526   0.543
     9.75    47.25    1966   0.020   0.578   0.598
     9.75    47.25    1967   0.021   0.535   0.555
     9.75    47.25    1968   0.026   0.623   0.649
     9.75    47.25    1969   0.026   0.533   0.558
     9.75    47.25    1970   0.024   0.553   0.577
     9.75    47.25    1971   0.029   0.648   0.677
     9.75    47.25    1972   0.022   0.530   0.551
     9.75    47.25    1973   0.023   0.545   0.568
     9.75    47.25    1974   0.021   0.603   0.624
     9.75    47.25    1975   0.026   0.546   0.572
     9.75    47.25    1976   0.026   0.571   0.597
     9.75    47.25    1977   0.028   0.613   0.641
     9.75    47.25    1978   0.023   0.518   0.541
     9.75    47.25    1979   0.020   0.471   0.492
     9.75    47.25    1980   0.020   0.475   0.494
     9.75    47.25    1981   0.033   0.632   0.665
     9.75    47.25    1982   0.029   0.467   0.496
     9.75    47.25    1983   0.033   0.618   0.651
     9.75    47.25    1984   0.031   0.501   0.532
     9.75    47.25    1985   0.032   0.664   0.696
     9.75    47.25    1986   0.034   0.494   0.528
     9.75    47.25    1987   0.030   0.587   0.617
     9.75    47.25    1988   0.041   0.566   0.607
     9.75    47.25    1989   0.039   0.630   0.669
     9.75    47.25    1990   0.044   0.662   0.707
     9.75    47.25    1991   0.035   0.602   0.636
     9.75    47.25    1992   0.043   0.482   0.525
     9.75    47.25    1993   0.047   0.591   0.638
     9.75    47.25    1994   0.057   0.585   0.642
     9.75    47.25    1995   0.055   0.556   0.611
     9.75    47.25    1996   0.057   0.588   0.644
     9.75    47.25    1997   0.052   0.578   0.630
     9.75    47.25    1998   0.062   0.586   0.649
     9.75    47.25    1999   0.058   0.549   0.607
     9.75    47.25    2000   0.066   0.531   0.596
     9.75    47.25    2001   0.065   0.547   0.612
     9.75    47.25    2002   0.078   0.573   0.651
     9.75    47.25    2003   0.092   0.533   0.625
     9.75    47.25    2004   0.085   0.536   0.621
     9.75    47.25    2005   0.108   0.583   0.690
     9.75    47.25    2006   0.106   0.459   0.565
     9.75    47.25    2007   0.124   0.542   0.666
     9.75    47.25    2008   0.118   0.435   0.553
     9.75    47.25    2009   0.152   0.477   0.629
     9.75    47.25    2010   0.136   0.456   0.592
     9.75    47.25    2011   0.159   0.501   0.661
     9.75    47.25    2012   0.151   0.413   0.564
     9.75    47.25    2013   0.164   0.409   0.573
     9.75    47.25    2014   0.187   0.422   0.609
     9.75    47.25    2015   0.209   0.359   0.568
     9.75    47.25    2016   0.183   0.387   0.569
     9.75    47.25    2017   0.243   0.414   0.657
    10.25    47.25    1901   0.000   0.361   0.361
    10.25    47.25    1902   0.000   0.325   0.325
    10.25    47.25    1903   0.000   0.374   0.374
    10.25    47.25    1904   0.000   0.375   0.375
    10.25    47.25    1905   0.000   0.367   0.367
    10.25    47.25    1906   0.000   0.317   0.317
    10.25    47.25    1907   0.000   0.451   0.451
    10.25    47.25    1908   0.000   0.378   0.378
    10.25    47.25    1909   0.000   0.397   0.397
    10.25    47.25    1910   0.000   0.310   0.310
    10.25    47.25    1911   0.000   0.398   0.398
    10.25    47.25    1912   0.000   0.297   0.297
    10.25    47.25    1913   0.000   0.388   0.388
    10.25    47.25    1914   0.000   0.208   0.208
    10.25    47.25    1915   0.000   0.415   0.415
    10.25    47.25    1916   0.000   0.255   0.255
    10.25    47.25    1917   0.000   0.483   0.483
    10.25    47.25    1918   0.000   0.272   0.272
    10.25    47.25    1919   0.000   0.380   0.380
    10.25    47.25    1920   0.000   0.349   0.349
    10.25    47.25    1921   0.000   0.436   0.436
    10.25    47.25    1922   0.000   0.356   0.356
    10.25    47.25    1923   0.000   0.402   0.402
    10.25    47.25    1924   0.000   0.361   0.361
    10.25    47.25    1925   0.000   0.369   0.369
    10.25    47.25    1926   0.000   0.264   0.264
    10.25    47.25    1927   0.000   0.424   0.424
    10.25    47.25    1928   0.000   0.311   0.311
    10.25    47.25    1929   0.000   0.484   0.484
    10.25    47.25    1930   0.000   0.360   0.360
    10.25    47.25    1931   0.000   0.438   0.438
    10.25    47.25    1932   0.000   0.387   0.387
    10.25    47.25    1933   0.000   0.295   0.295
    10.25    47.25    1934   0.000   0.525   0.525
    10.25    47.25    1935   0.000   0.324   0.324
    10.25    47.25    1936   0.000   0.345   0.345
    10.25    47.25    1937   0.000   0.404   0.404
    10.25    47.25    1938   0.000   0.356   0.356
    10.25    47.25    1939   0.000   0.301   0.301
    10.25    47.25    1940   0.000   0.379   0.379
    10.25    47.25    1941   0.000   0.307   0.307
    10.25    47.25    1942   0.000   0.390   0.390
    10.25    47.25    1943   0.000   0.429   0.429
    10.25    47.25    1944   0.000   0.366   0.366
    10.25    47.25    1945   0.000   0.486   0.486
    10.25    47.25    1946   0.000   0.411   0.411
    10.25    47.25    1947   0.000   0.563   0.563
    10.25    47.25    1948   0.000   0.421   0.421
    10.25    47.25    1949   0.000   0.522   0.522
    10.25    47.25    1950   0.000   0.456   0.456
    10.25    47.25    1951   0.000   0.437   0.437
    10.25    47.25    1952   0.000   0.463   0.463
    10.25    47.25    1953   0.000   0.403   0.403
    10.25    47.25    1954   0.000   0.322   0.322
    10.25    47.25    1955   0.000   0.390   0.390
    10.25    47.25    1956   0.000   0.319   0.319
    10.25    47.25    1957   0.000   0.276   0.276
    10.25    47.25    1958   0.000   0.436   0.436
    10.25    47.25    1959   0.000   0.377   0.377
    10.25    47.25    1960   0.000   0.446   0.446
    10.25    47.25    1961   0.000   0.392   0.392
    10.25    47.25    1962   0.000   0.417   0.417
    10.25    47.25    1963   0.000   0.375   0.375
    10.25    47.25    1964   0.000   0.472   0.472
    10.25    47.25    1965   0.000   0.293   0.293
    10.25    47.25    1966   0.000   0.474   0.474
    10.25    47.25    1967   0.000   0.330   0.330
    10.25    47.25    1968   0.000   0.500   0.500
    10.25    47.25    1969   0.000   0.365   0.365
    10.25    47.25    1970   0.000   0.348   0.348
    10.25    47.25    1971   0.000   0.460   0.460
    10.25    47.25    1972   0.000   0.246   0.246
    10.25    47.25    1973   0.000   0.488   0.488
    10.25    47.25    1974   0.000   0.257   0.257
    10.25    47.25    1975   0.000   0.354   0.354
    10.25    47.25    1976   0.000   0.413   0.413
    10.25    47.25    1977   0.000   0.330   0.330
    10.25    47.25    1978   0.000   0.372   0.372
    10.25    47.25    1979   0.000   0.346   0.346
    10.25    47.25    1980   0.000   0.284   0.284
    10.25    47.25    1981   0.000   0.424   0.424
    10.25    47.25    1982   0.000   0.370   0.370
    10.25    47.25    1983   0.000   0.441   0.441
    10.25    47.25    1984   0.000   0.323   0.323
    10.25    47.25    1985   0.000   0.494   0.494
    10.25    47.25    1986   0.000   0.380   0.380
    10.25    47.25    1987   0.000   0.388   0.388
    10.25    47.25    1988   0.000   0.472   0.472
    10.25    47.25    1989   0.000   0.382   0.382
    10.25    47.25    1990   0.000   0.540   0.540
    10.25    47.25    1991   0.000   0.300   0.300
    10.25    47.25    1992   0.000   0.579   0.579
    10.25    47.25    1993   0.000   0.403   0.403
    10.25    47.25    1994   0.000   0.448   0.448
    10.25    47.25    1995   0.000   0.437   0.437
    10.25    47.25    1996   0.000   0.424   0.424
    10.25    47.25    1997   0.000   0.424   0.424
    10.25    47.25    1998   0.000   0.424   0.424
    10.25    47.25    1999   0.000   0.446   0.446
    10.25    47.25    2000   0.000   0.487   0.487
    10.25    47.25    2001   0.000   0.447   0.447
    10.25    47.25    2002   0.000   0.385   0.385
    10.25    47.25    2003   0.000   0.583   0.583
    10.25    47.25    2004   0.000   0.330   0.330
    10.25    47.25    2005   0.000   0.560   0.560
    10.25    47.25    2006   0.000   0.429   0.429
    10.25    47.25    2007   0.000   0.673   0.673
    10.25    47.25    2008   0.000   0.354   0.354
    10.25    47.25    2009   0.000   0.487   0.487
    10.25    47.25    2010   0.000   0.378   0.378
    10.25    47.25    2011   0.000   0.608   0.608
    10.25    47.25    2012   0.000   0.431   0.431
    10.25    47.25    2013   0.000   0.511   0.511
    10.25    47.25    2014   0.000   0.433   0.433
    10.25    47.25    2015   0.000   0.579   0.579
    10.25    47.25    2016   0.000   0.372   0.372
    10.25    47.25    2017   0.000   0.583   0.583
    10.75    47.25    1901   0.000   0.292   0.292
    10.75    47.25    1902   0.000   0.216   0.216
    10.75    47.25    1903   0.000   0.305   0.305
    10.75    47.25    1904   0.000   0.237   0.237
    10.75    47.25    1905   0.000   0.322   0.322
    10.75    47.25    1906   0.000   0.208   0.208
    10.75    47.25    1907   0.000   0.373   0.373
    10.75    47.25    1908   0.000   0.238   0.238
    10.75    47.25    1909   0.000   0.337   0.337
    10.75    47.25    1910   0.000   0.192   0.192
    10.75    47.25    1911   0.000   0.283   0.283
    10.75    47.25    1912   0.000   0.185   0.185
    10.75    47.25    1913   0.000   0.236   0.236
    10.75    47.25    1914   0.000   0.141   0.141
    10.75    47.25    1915   0.000   0.275   0.275
    10.75    47.25    1916   0.000   0.160   0.160
    10.75    47.25    1917   0.000   0.369   0.369
    10.75    47.25    1918   0.000   0.206   0.206
    10.75    47.25    1919   0.000   0.242   0.242
    10.75    47.25    1920   0.000   0.313   0.313
    10.75    47.25    1921   0.000   0.352   0.352
    10.75    47.25    1922   0.000   0.286   0.286
    10.75    47.25    1923   0.000   0.285   0.285
    10.75    47.25    1924   0.000   0.288   0.288
    10.75    47.25    1925   0.000   0.251   0.251
    10.75    47.25    1926   0.000   0.188   0.188
    10.75    47.25    1927   0.000   0.290   0.290
    10.75    47.25    1928   0.000   0.242   0.242
    10.75    47.25    1929   0.000   0.374   0.374
    10.75    47.25    1930   0.000   0.285   0.285
    10.75    47.25    1931   0.000   0.347   0.347
    10.75    47.25    1932   0.000   0.311   0.311
    10.75    47.25    1933   0.000   0.207   0.207
    10.75    47.25    1934   0.000   0.361   0.361
    10.75    47.25    1935   0.000   0.274   0.274
    10.75    47.25    1936   0.000   0.239   0.239
    10.75    47.25    1937   0.000   0.329   0.329
    10.75    47.25    1938   0.000   0.281   0.281
    10.75    47.25    1939   0.000   0.228   0.228
    10.75    47.25    1940   0.000   0.295   0.295
    10.75    47.25    1941   0.000   0.222   0.222
    10.75    47.25    1942   0.000   0.338   0.338
    10.75    47.25    1943   0.000   0.260   0.260
    10.75    47.25    1944   0.000   0.321   0.321
    10.75    47.25    1945   0.000   0.333   0.333
    10.75    47.25    1946   0.000   0.363   0.363
    10.75    47.25    1947   0.000   0.414   0.414
    10.75    47.25    1948   0.000   0.307   0.307
    10.75    47.25    1949   0.000   0.436   0.436
    10.75    47.25    1950   0.000   0.317   0.317
    10.75    47.25    1951   0.000   0.391   0.391
    10.75    47.25    1952   0.000   0.298   0.298
    10.75    47.25    1953   0.000   0.356   0.356
    10.75    47.25    1954   0.000   0.253   0.253
    10.75    47.25    1955   0.000   0.295   0.295
    10.75    47.25    1956   0.000   0.242   0.242
    10.75    47.25    1957   0.000   0.212   0.212
    10.75    47.25    1958   0.000   0.361   0.361
    10.75    47.25    1959   0.000   0.275   0.275
    10.75    47.25    1960   0.000   0.385   0.385
    10.75    47.25    1961   0.000   0.273   0.273
    10.75    47.25    1962   0.000   0.304   0.304
    10.75    47.25    1963   0.000   0.305   0.305
    10.75    47.25    1964   0.000   0.378   0.378
    10.75    47.25    1965   0.000   0.232   0.232
    10.75    47.25    1966   0.000   0.366   0.366
    10.75    47.25    1967   0.000   0.258   0.258
    10.75    47.25    1968   0.000   0.377   0.377
    10.75    47.25    1969   0.000   0.320   0.320
    10.75    47.25    1970   0.000   0.262   0.262
    10.75    47.25    1971   0.000   0.339   0.339
    10.75    47.25    1972   0.000   0.217   0.217
    10.75    47.25    1973   0.000   0.387   0.387
    10.75    47.25    1974   0.000   0.190   0.190
    10.75    47.25    1975   0.000   0.281   0.281
    10.75    47.25    1976   0.000   0.283   0.283
    10.75    47.25    1977   0.000   0.276   0.276
    10.75    47.25    1978   0.000   0.238   0.238
    10.75    47.25    1979   0.000   0.274   0.274
    10.75    47.25    1980   0.000   0.209   0.209
    10.75    47.25    1981   0.000   0.310   0.310
    10.75    47.25    1982   0.000   0.311   0.311
    10.75    47.25    1983   0.000   0.380   0.380
    10.75    47.25    1984   0.000   0.225   0.225
    10.75    47.25    1985   0.000   0.385   0.385
    10.75    47.25    1986   0.000   0.295   0.295
    10.75    47.25    1987   0.000   0.293   0.293
    10.75    47.25    1988   0.000   0.391   0.391
    10.75    47.25    1989   0.000   0.280   0.280
    10.75    47.25    1990   0.000   0.425   0.425
    10.75    47.25    1991   0.000   0.233   0.233
    10.75    47.25    1992   0.000   0.405   0.405
    10.75    47.25    1993   0.000   0.339   0.339
    10.75    47.25    1994   0.000   0.330   0.330
    10.75    47.25    1995   0.000   0.352   0.352
    10.75    47.25    1996   0.000   0.260   0.260
    10.75    47.25    1997   0.000   0.369   0.369
    10.75    47.25    1998   0.000   0.298   0.298
    10.75    47.25    1999   0.000   0.334   0.334
    10.75    47.25    2000   0.000   0.403   0.403
    10.75    47.25    2001   0.000   0.340   0.340
    10.75    47.25    2002   0.000   0.332   0.332
    10.75    47.25    2003   0.000   0.445   0.445
    10.75    47.25    2004   0.000   0.232   0.232
    10.75    47.25    2005   0.000   0.465   0.465
    10.75    47.25    2006   0.000   0.273   0.273
    10.75    47.25    2007   0.000   0.472   0.472
    10.75    47.25    2008   0.000   0.297   0.297
    10.75    47.25    2009   0.000   0.433   0.433
    10.75    47.25    2010   0.000   0.257   0.257
    10.75    47.25    2011   0.000   0.410   0.410
    10.75    47.25    2012   0.000   0.398   0.398
